idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,Carol went to the Library. --- FLUSH --- Where did Carol go?,the Library,Library.,0,1,0.0,1,2,0,1,100.27784900012193,,,,,252.8149225169288,2894.8046875,pre_replay,False,0.4349775400623912,1.0,50,50,50,50,0.10905378010647837,0.0,0,50,50,50,0.0632801401661709,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
1,Carol went to the Mall. --- FLUSH --- Where did Carol go?,the Mall,Mall.,0,1,0.0,1,2,0,1,126.34953299857443,,,,,252.8149225169288,2894.8046875,pre_replay,False,0.4349775400623912,1.0,50,50,50,50,0.10905378010647837,0.0,0,50,50,50,0.0632801401661709,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
2,Carol went to the Park. --- FLUSH --- Where did Carol go?,the Park,Park.,0,1,0.0,1,2,0,1,100.39283000151045,,,,,252.8149225169288,2894.8046875,pre_replay,False,0.4349775400623912,1.0,50,50,50,50,0.10905378010647837,0.0,0,50,50,50,0.0632801401661709,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
3,Dave went to the Library. --- FLUSH --- Where did Dave go?,the Library,Library.,0,1,0.0,1,2,0,1,101.38111700143781,,,,,252.8149225169288,2894.8046875,pre_replay,False,0.4349775400623912,1.0,50,50,50,50,0.10905378010647837,0.0,0,50,50,50,0.0632801401661709,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
4,Carol went to the Cafe. --- FLUSH --- Where did Carol go?,the Cafe,Cafe,0,1,0.6666666666666666,1,2,0,0,100.05886699946132,,,,,252.8149225169288,2894.8046875,pre_replay,False,0.4349775400623912,1.0,50,50,50,50,0.10905378010647837,0.0,0,50,50,50,0.0632801401661709,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
5,Dave went to the Mall. --- FLUSH --- Where did Dave go?,the Mall,Mall.,0,1,0.0,1,2,0,1,126.00318100157892,,,,,252.8149225169288,2894.8046875,pre_replay,False,0.4349775400623912,1.0,50,50,50,50,0.10905378010647837,0.0,0,50,50,50,0.0632801401661709,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
6,Alice went to the Park. --- FLUSH --- Where did Alice go?,the Park,The Park.,0,1,0.0,2,2,0,1,124.58609999885084,,,,,252.8149225169288,2894.8046875,pre_replay,False,0.4349775400623912,1.0,50,50,50,50,0.10905378010647837,0.0,0,50,50,50,0.0632801401661709,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
7,Dave went to the Mall. --- FLUSH --- Where did Dave go?,the Mall,The Mall.,0,1,0.0,2,2,0,1,124.60546099828207,,,,,252.8149225169288,2894.8046875,pre_replay,False,0.4349775400623912,1.0,50,50,50,50,0.10905378010647837,0.0,0,50,50,50,0.0632801401661709,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
8,Carol went to the Cafe. --- FLUSH --- Where did Carol go?,the Cafe,Cafe,0,1,0.6666666666666666,1,2,0,0,99.51648300193483,,,,,252.8149225169288,2894.8046875,pre_replay,False,0.4349775400623912,1.0,50,50,50,50,0.10905378010647837,0.0,0,50,50,50,0.0632801401661709,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
9,Carol went to the Cafe. --- FLUSH --- Where did Carol go?,the Cafe,Cafe,0,1,0.6666666666666666,1,2,0,0,100.45752000223729,,,,,252.8149225169288,2894.8046875,pre_replay,False,0.4349775400623912,1.0,50,50,50,50,0.10905378010647837,0.0,0,50,50,50,0.0632801401661709,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
10,Dave went to the Library. --- FLUSH --- Where did Dave go?,the Library,The Library.,0,1,0.0,2,2,0,1,125.87015900135157,,,,,252.8149225169288,2894.8046875,pre_replay,False,0.4349775400623912,1.0,50,50,50,50,0.10905378010647837,0.0,0,50,50,50,0.0632801401661709,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
11,Bob went to the Park. --- FLUSH --- Where did Bob go?,the Park,Park.,0,1,0.0,1,2,0,1,101.04528400188428,,,,,252.8149225169288,2894.8046875,pre_replay,False,0.4349775400623912,1.0,50,50,50,50,0.10905378010647837,0.0,0,50,50,50,0.0632801401661709,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
12,Dave went to the Park. --- FLUSH --- Where did Dave go?,the Park,The Park.,0,1,0.0,2,2,0,1,125.60181799926795,,,,,252.8149225169288,2894.8046875,pre_replay,False,0.4349775400623912,1.0,50,50,50,50,0.10905378010647837,0.0,0,50,50,50,0.0632801401661709,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
13,Bob went to the Cafe. --- FLUSH --- Where did Bob go?,the Cafe,Cafe,0,1,0.6666666666666666,1,2,0,0,99.50472299897228,,,,,252.8149225169288,2894.8046875,pre_replay,False,0.4349775400623912,1.0,50,50,50,50,0.10905378010647837,0.0,0,50,50,50,0.0632801401661709,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
14,Alice went to the Cafe. --- FLUSH --- Where did Alice go?,the Cafe,Cafe.,0,1,0.0,1,2,0,1,125.48993699965649,,,,,252.8149225169288,2894.8046875,pre_replay,False,0.4349775400623912,1.0,50,50,50,50,0.10905378010647837,0.0,0,50,50,50,0.0632801401661709,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
15,Dave went to the Cafe. --- FLUSH --- Where did Dave go?,the Cafe,Cafe,0,1,0.6666666666666666,1,2,0,0,99.938026000018,,,,,252.8149225169288,2894.8046875,pre_replay,False,0.4349775400623912,1.0,50,50,50,50,0.10905378010647837,0.0,0,50,50,50,0.0632801401661709,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
16,Alice went to the Library. --- FLUSH --- Where did Alice go?,the Library,Library.,0,1,0.0,1,2,0,1,100.8440330006124,,,,,252.8149225169288,2894.8046875,pre_replay,False,0.4349775400623912,1.0,50,50,50,50,0.10905378010647837,0.0,0,50,50,50,0.0632801401661709,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
17,Bob went to the Cafe. --- FLUSH --- Where did Bob go?,the Cafe,Cafe,0,1,0.6666666666666666,1,2,0,0,100.44866899988847,,,,,252.8149225169288,2894.8046875,pre_replay,False,0.4349775400623912,1.0,50,50,50,50,0.10905378010647837,0.0,0,50,50,50,0.0632801401661709,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
18,Carol went to the Library. --- FLUSH --- Where did Carol go?,the Library,The Library.,0,1,0.0,2,2,0,1,124.22758799948497,,,,,252.8149225169288,2894.8046875,pre_replay,False,0.4349775400623912,1.0,50,50,50,50,0.10905378010647837,0.0,0,50,50,50,0.0632801401661709,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
19,Dave went to the Park. --- FLUSH --- Where did Dave go?,the Park,The Park.,0,1,0.0,2,2,0,1,125.65422799889348,,,,,252.8149225169288,2894.8046875,pre_replay,False,0.4349775400623912,1.0,50,50,50,50,0.10905378010647837,0.0,0,50,50,50,0.0632801401661709,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
20,Alice went to the Park. --- FLUSH --- Where did Alice go?,the Park,The Park.,0,1,0.0,2,2,0,1,127.14359799792874,,,,,252.8149225169288,2894.8046875,pre_replay,False,0.4349775400623912,1.0,50,50,50,50,0.10905378010647837,0.0,0,50,50,50,0.0632801401661709,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
21,Dave went to the Library. --- FLUSH --- Where did Dave go?,the Library,Library.,0,1,0.0,1,2,0,1,102.87570700165816,,,,,252.8149225169288,2894.8046875,pre_replay,False,0.4349775400623912,1.0,50,50,50,50,0.10905378010647837,0.0,0,50,50,50,0.0632801401661709,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
22,Alice went to the Park. --- FLUSH --- Where did Alice go?,the Park,The Park.,0,1,0.0,2,2,0,1,127.40091999876313,,,,,252.8149225169288,2894.8046875,pre_replay,False,0.4349775400623912,1.0,50,50,50,50,0.10905378010647837,0.0,0,50,50,50,0.0632801401661709,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
23,Bob went to the Library. --- FLUSH --- Where did Bob go?,the Library,Library.,0,1,0.0,1,2,0,1,103.42535100062378,,,,,252.8149225169288,2894.8046875,pre_replay,False,0.4349775400623912,1.0,50,50,50,50,0.10905378010647837,0.0,0,50,50,50,0.0632801401661709,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
24,Bob went to the Cafe. --- FLUSH --- Where did Bob go?,the Cafe,Cafe,0,1,0.6666666666666666,1,2,0,0,101.23131500222371,,,,,252.8149225169288,2894.8046875,pre_replay,False,0.4349775400623912,1.0,50,50,50,50,0.10905378010647837,0.0,0,50,50,50,0.0632801401661709,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
25,Dave went to the Mall. --- FLUSH --- Where did Dave go?,the Mall,The Mall.,0,1,0.0,2,2,0,1,124.69601100019645,,,,,252.8149225169288,2894.8046875,pre_replay,False,0.4349775400623912,1.0,50,50,50,50,0.10905378010647837,0.0,0,50,50,50,0.0632801401661709,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
