idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.batch_size,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits_at_k,retrieval.episodic.k,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.batch_size,retrieval.relational.hit_rate_at_k,retrieval.relational.hits_at_k,retrieval.relational.k,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.batch_size,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits_at_k,retrieval.spatial.k,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gating.episodic.accepted,gating.episodic.aggregated,gating.episodic.attempts,gating.episodic.blocked,gating.episodic.blocked_new_edges,gating.episodic.inserted,gating.episodic.null_input,gating.episodic.routed_to_episodic,gating.episodic.skipped,gating.relational.accepted,gating.relational.aggregated,gating.relational.attempts,gating.relational.blocked,gating.relational.blocked_new_edges,gating.relational.inserted,gating.relational.null_input,gating.relational.routed_to_episodic,gating.relational.skipped,gating.spatial.accepted,gating.spatial.aggregated,gating.spatial.attempts,gating.spatial.blocked,gating.spatial.blocked_new_edges,gating.spatial.inserted,gating.spatial.null_input,gating.spatial.routed_to_episodic,gating.spatial.skipped
0,Carol found at the Library on Wednesday. Alice found at the Mall on Monday. Bob helped at the Mall on Wednesday. Where was Bob?,the Mall,Mall,0,0,0.6666666666666666,1,2,0,0,95.20125899871346,,,,,253.5631375080743,2646.08203125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Carol met at the Mall on Tuesday. Alice helped at the Mall on Wednesday. Dave helped at the Cafe on Wednesday. When was Dave at the Cafe?,Wednesday,Wednesday.,0,0,0.0,1,1,0,1,93.41801700065844,,,,,253.5631375080743,2646.08203125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Bob saw at the Cafe on Wednesday. Bob found at the Park on Monday. Alice found at the Cafe on Monday. Who was at the Cafe?,Alice,Bob was at the Cafe.,0,0,0.0,5,1,1,1,189.62283300061245,,,,,253.5631375080743,2646.08203125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Dave saw at the Library on Monday. Dave found at the Mall on Monday. Bob met at the Park on Tuesday. When was Bob at the Park?,Tuesday,Tuesday,1,1,1.0,1,1,0,0,67.7247810017434,,,,,253.5631375080743,2646.08203125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Alice saw at the Park on Monday. Alice found at the Park on Monday. Carol helped at the Cafe on Tuesday. Where was Carol?,the Cafe,The Cafe.,0,0,0.0,2,2,0,1,117.81597599838278,,,,,253.5631375080743,2646.08203125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Dave helped at the Mall on Monday. Bob helped at the Park on Tuesday. Dave helped at the Library on Monday. Who was at the Library?,Dave,Dave was at the Library on Monday.,0,0,0.25,7,1,1,1,239.06986299698474,,,,,253.5631375080743,2646.08203125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Bob saw at the Mall on Tuesday. Dave found at the Park on Monday. Carol saw at the Library on Wednesday. When was Carol at the Library?,Wednesday,Wednesday.,0,0,0.0,1,1,0,1,90.86137200210942,,,,,253.5631375080743,2646.08203125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Alice helped at the Mall on Thursday. Dave found at the Library on Wednesday. Carol helped at the Mall on Wednesday. When was Carol at the Mall?,Wednesday,Wednesday.,0,0,0.0,1,1,0,1,90.77924200028065,,,,,253.5631375080743,2646.08203125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Carol found at the Mall on Tuesday. Alice found at the Library on Thursday. Dave met at the Park on Monday. Who was at the Park?,Dave,Dave met at the Park on Monday.,0,0,0.25,7,1,1,1,243.55450999792083,,,,,253.5631375080743,2646.08203125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Carol met at the Library on Monday. Dave helped at the Cafe on Tuesday. Dave saw at the Park on Wednesday. Who was at the Park?,Dave,Dave was at the Park on Wednesday.,0,0,0.25,7,1,1,1,239.19661300169537,,,,,253.5631375080743,2646.08203125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
