idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,memory_hit,retrieval_latency_ms,router_path,topk_keys,distance,justification,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.batch_size,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits_at_k,retrieval.episodic.k,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.batch_size,retrieval.relational.hit_rate_at_k,retrieval.relational.hits_at_k,retrieval.relational.k,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.batch_size,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits_at_k,retrieval.spatial.k,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gating.episodic.accepted,gating.episodic.attempts,gating.episodic.skipped,gating.relational.accepted,gating.relational.attempts,gating.relational.skipped,gating.spatial.accepted,gating.spatial.attempts,gating.spatial.skipped
0,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (3, 4) goal (1, 4). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",LL,URDLLDRRLRDLLRDDLLRDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCRUCUULURCDRCR,0,0,0.0,1,1,0,0,7048.691673000576,0,0.0,,,,,False,337,2,168.5,1373.5714994487037,2729.90625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 4) goal (4, 0). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",UUUU,RLRUURRDDLLDRDRLRDRCUULURRDDLCUURRRUCUURDDRCUURRRDCUUURRDDLCUURRRUCUURRDDRCUURRRDCUUURRDDLRCUURRRUCUURRDDRCUURRRDCUUURRDDLCUURRRUCUURRDDRCUURRRDCUUURRDDLRCUURRRUCUURRDDRCUURRRDCUUURRDDLCUURRRUCUURRDDRCUURRRDCUUURRDDLCUURRRUCUURRDDRCUURRRDCUUURRDDLCUURRRUCUURRDDRCUURRRDCUUURRDDLCUURRRUCUURRDDRCUURRRDCUUURRDDLCUURRRUCUURRDDRCUURRRDCUUURRDDLCUURRRUCUURRDDRCUURRRDCUUURRDDLCUURRRUCUURRDDRCUURRRDCUUURRDDLCUURRRUCUURRDDRCUURRRDCUUURRDDLCUURRRUCUURRDDRCUURRRDCUUURRDDLCUURRRUCUURRDDRCUURRRDCUUURRDD,0,0,0.0,1,1,0,0,6903.167083000881,0,0.0,,,,,False,433,4,108.25,1373.5714994487037,2729.90625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 5) goal (5, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",UURU,URDDLRDDRDRDRLRDDLUULRDRLUDDRUULRDRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCLLCRCRCL,0,0,0.0,1,1,0,0,6868.424019001395,0,0.0,,,,,False,273,4,68.25,1373.5714994487037,2729.90625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 4) goal (4, 0). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",UUUU,RLURDLURUDRUULRDRCRDRD,0,0,0.0,1,1,0,0,381.1258549976628,0,0.0,,,,,False,21,4,5.25,1373.5714994487037,2729.90625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 1) goal (4, 4). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",DDD,RLURDRLLRDULLRUDDRCRULRDRCRURDLRURDRCRRRLURDDRCRRRLURDDRCRRRLURDDRCRRRLURD,0,0,0.0,1,1,0,0,1112.4650009987818,0,0.0,,,,,False,68,3,22.666666666666668,1373.5714994487037,2729.90625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (2, 0) goal (4, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",RRDD,RLURLURDDRDRLURRDDRUURUDRLURRDDLUURUDDRUURUDDRUURURRDDLUURULDDRUURUDDRUURURRDDLUURUDDRUURUDDRUURURRDDLUURULDDRUURUDDRUURURRDDLUURUDDRUURUDDRUURURRDDLUURULDDRUURUDDRUURURRDDLUURUDDRUURUDDRUURURRDDLUURULDDRUURUDDRUURURRDDLUURUDDRUURUDDRUURURRDDLUURULDDRUURUDDRUURURRDDLUURUDDRUURUDDRUURURRDDLUURULDDRUURUDDRUURURRDDLUURUDDRUURUDDRUURURRDDLUURULDDRUURUDDRUURURRDDLUURUDDRUURUDDRUURURRDDLUURULDDRUURUDDRUURURRDDLUURUDDRUURUDDRUURURRDDLUURULDDRUURUDDRUURURRDDLUURUDDRUURUDDRUURURRDDLUURULDDRUURUDDRUURURRDDLUUR,0,0,0.0,1,1,0,0,6975.728538000112,0,0.0,,,,,False,505,4,126.25,1373.5714994487037,2729.90625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (3, 0) goal (4, 3). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",RDDD,URDLLRDRLUDDRUURRDRCUDRCULDRDRCURRDDLCRURRCRURUCRLRDCRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCRURCDRLRCR,0,0,0.0,1,1,0,0,6908.03676699943,0,0.0,,,,,False,365,4,91.25,1373.5714994487037,2729.90625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (2, 0) goal (4, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",RRDD,RLRDLLURDRULRDRLRUDDLUUULDDR,0,0,0.0,1,1,0,0,440.19442300123046,0,0.0,,,,,False,28,4,7.0,1373.5714994487037,2729.90625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 4) goal (5, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",URU,UDRLRDURRDDLUULRDRCR,0,0,0.0,1,1,0,0,332.8186510007072,0,0.0,,,,,False,19,3,6.333333333333333,1373.5714994487037,2729.90625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (1, 1) goal (0, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",LD,URDRULRDLLURURRDDRLRUDDLUURRDRCUURRURDDLCDDRCLRDRDRCUDLRUCUUURRDDLCDDRCLRRDRCUDLRUCUUURRDDLCDDRCLRDRDRCUDLRUCUUURRDDLCDDRCLRDRDRCUDLRUCUUURRDDLCDDRCLRDRDRCUDLRUCUUURRDDLCDDRCLRDRDRCUDLRUCUUURRDDLCDDRCLRDRDRCUDLRUCUUURRDDLCDDRCLRDRDRCUDLRUCUUURRDDLCDDRCLRDRDRCUDLRUCUUURRDDLCDDRCLRDRDRCUDLRUCUUURRDDLCDDRCLRDRDRCUDLRUCUUURRDDLCDDRCLRDRDRCUDLRUCUUURRDDLCDDRCLRDRDRCUDLRUCUUURRDDLCDDRCLRDRDRCUDLRUCUUURRDDLCDDRCLRDRDRCUDLRUCUUURRDDLCDDRCLRDRDRCUDLRUCUUURRDDLCDDRCLRDRDRCUDLRUCUUURRDDLCDDRCLRDRDRCUDLRUCUUURRDDLCDDRCLRDRDRCUDLRUCUUURRDDLCDDRCLRDRDRCUDLR,0,0,0.0,1,1,0,0,6956.581399001152,0,0.0,,,,,False,469,2,234.5,1373.5714994487037,2729.90625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
